image,status,conflict_method,docling_easyocr_preprocessed__chars,docling_qwen3-vlm-4B_preprocessed__chars,charsim__docling_easyocr_preprocessed__vs__docling_qwen3-vlm-4B_preprocessed,jaccard__docling_easyocr_preprocessed__vs__docling_qwen3-vlm-4B_preprocessed,min_charsim,mean_charsim,min_jaccard,mean_jaccard
pages-157-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2604,3519,0.0964,0.436,0.0964,0.0964,0.436,0.436
pages-157-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2260,3661,0.0932,0.3955,0.0932,0.0932,0.3955,0.3955
pages-158-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1942,2625,0.1861,0.4462,0.1861,0.1861,0.4462,0.4462
pages-158-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2967,3817,0.3149,0.4711,0.3149,0.3149,0.4711,0.4711
pages-159-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3438,4043,0.4058,0.5539,0.4058,0.4058,0.5539,0.5539
pages-159-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2484,3837,0.3408,0.4343,0.3408,0.3408,0.4343,0.4343
pages-160-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3413,74279,0.0138,0.2818,0.0138,0.0138,0.2818,0.2818
pages-160-b,MISSING,docling_easyocr_preprocessed,0,126,0.0,0.0,0.0,0.0,0.0,0.0
pages-161-a,MISSING,docling_easyocr_preprocessed,0,229,0.0,0.0,0.0,0.0,0.0,0.0
pages-161-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1492,2553,0.311,0.3456,0.311,0.311,0.3456,0.3456
pages-162-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2594,3593,0.1086,0.4141,0.1086,0.1086,0.4141,0.4141
pages-162-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1887,3672,0.0662,0.3189,0.0662,0.0662,0.3189,0.3189
pages-163-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2396,72370,0.0003,0.0537,0.0003,0.0003,0.0537,0.0537
pages-163-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1146,3440,0.0925,0.2244,0.0925,0.0925,0.2244,0.2244
pages-164-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2732,66919,0.0022,0.2202,0.0022,0.0022,0.2202,0.2202
pages-164-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1742,4051,0.1132,0.2735,0.1132,0.1132,0.2735,0.2735
pages-165-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2681,67364,0.016,0.2075,0.016,0.016,0.2075,0.2075
pages-165-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1882,3460,0.1932,0.2991,0.1932,0.1932,0.2991,0.2991
pages-166-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2295,4423,0.0637,0.246,0.0637,0.0637,0.246,0.246
pages-166-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1398,4003,0.2096,0.1984,0.2096,0.2096,0.1984,0.1984
pages-167-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2637,3730,0.2095,0.391,0.2095,0.2095,0.391,0.391
pages-167-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,92,263,0.0225,0.0,0.0225,0.0225,0.0,0.0
pages-168-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2407,3393,0.1348,0.3868,0.1348,0.1348,0.3868,0.3868
pages-168-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,14,13,0.963,0.25,0.963,0.963,0.25,0.25
pages-169-a,BLANK,,0,140,0.0,0.0,0.0,0.0,0.0,0.0
pages-169-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1587,1731,0.2417,0.6603,0.2417,0.2417,0.6603,0.6603
pages-170-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2728,3763,0.131,0.3799,0.131,0.131,0.3799,0.3799
pages-170-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1920,3503,0.2984,0.3726,0.2984,0.2984,0.3726,0.3726
pages-171-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2588,3242,0.0895,0.4027,0.0895,0.0895,0.4027,0.4027
pages-171-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1685,2602,0.4222,0.3689,0.4222,0.4222,0.3689,0.3689
pages-172-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3013,3913,0.1429,0.3879,0.1429,0.1429,0.3879,0.3879
pages-172-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1884,3143,0.1094,0.3388,0.1094,0.1094,0.3388,0.3388
pages-173-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3258,3855,0.2134,0.4726,0.2134,0.2134,0.4726,0.4726
pages-173-b,BLANK,,0,128,0.0,0.0,0.0,0.0,0.0,0.0
pages-174-a,MISSING,docling_easyocr_preprocessed,0,35,0.0,0.0,0.0,0.0,0.0,0.0
pages-174-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2160,3223,0.1185,0.4083,0.1185,0.1185,0.4083,0.4083
pages-175-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1548,2122,0.2142,0.3946,0.2142,0.2142,0.3946,0.3946
pages-175-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1643,3851,0.1551,0.2914,0.1551,0.1551,0.2914,0.2914
pages-176-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2246,2786,0.1999,0.4417,0.1999,0.1999,0.4417,0.4417
pages-176-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2105,3611,0.091,0.3088,0.091,0.091,0.3088,0.3088
pages-177-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2264,2963,0.127,0.3284,0.127,0.127,0.3284,0.3284
pages-177-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1864,3539,0.1555,0.2837,0.1555,0.1555,0.2837,0.2837
pages-178-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2480,3861,0.1057,0.3561,0.1057,0.1057,0.3561,0.3561
pages-178-b,BLANK,,0,193,0.0,0.0,0.0,0.0,0.0,0.0
pages-179-a,BLANK,,0,115,0.0,0.0,0.0,0.0,0.0,0.0
pages-179-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2086,3383,0.1042,0.3624,0.1042,0.1042,0.3624,0.3624
pages-180-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2239,66987,0.0044,0.3482,0.0044,0.0044,0.3482,0.3482
pages-180-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2731,4090,0.1035,0.398,0.1035,0.1035,0.398,0.398
pages-181-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2701,80582,0.0139,0.2633,0.0139,0.0139,0.2633,0.2633
pages-181-b,MISSING,docling_qwen3-vlm-4B_preprocessed,903,0,0.0,0.0,0.0,0.0,0.0,0.0
pages-182-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1048,1424,0.1052,0.3592,0.1052,0.1052,0.3592,0.3592
pages-182-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1268,1565,0.2301,0.5288,0.2301,0.2301,0.5288,0.5288
pages-183-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2038,804,0.0317,0.0811,0.0317,0.0317,0.0811,0.0811
pages-183-b,MISSING,docling_easyocr_preprocessed,0,26,0.0,0.0,0.0,0.0,0.0,0.0
pages-184-a,BLANK,,0,154,0.0,0.0,0.0,0.0,0.0,0.0
pages-184-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2046,3250,0.0415,0.3648,0.0415,0.0415,0.3648,0.3648
pages-185-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3071,4107,0.173,0.4563,0.173,0.173,0.4563,0.4563
pages-185-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1378,3239,0.123,0.2832,0.123,0.123,0.2832,0.2832
pages-186-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,677,900,0.0596,0.5952,0.0596,0.0596,0.5952,0.5952
pages-186-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1016,3043,0.0655,0.2197,0.0655,0.0655,0.2197,0.2197
pages-187-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2033,3191,0.0861,0.3168,0.0861,0.0861,0.3168,0.3168
pages-187-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,580,41397,0.0189,0.0124,0.0189,0.0189,0.0124,0.0124
pages-188-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2251,74503,0.002,0.0714,0.002,0.002,0.0714,0.0714
pages-188-b,MISSING,docling_easyocr_preprocessed,0,25,0.0,0.0,0.0,0.0,0.0,0.0
pages-189-a,BLANK,,0,124,0.0,0.0,0.0,0.0,0.0,0.0
pages-189-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1539,3092,0.0877,0.3314,0.0877,0.0877,0.3314,0.3314
pages-190-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,768,2062,0.036,0.2085,0.036,0.036,0.2085,0.2085
pages-190-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1454,3608,0.0265,0.2411,0.0265,0.0265,0.2411,0.2411
pages-191-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1741,1157,0.136,0.3689,0.136,0.136,0.3689,0.3689
pages-191-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,16,37240,0.0009,0.0952,0.0009,0.0009,0.0952,0.0952
pages-192-a,BLANK,,0,133,0.0,0.0,0.0,0.0,0.0,0.0
pages-192-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2863,3679,0.0269,0.4127,0.0269,0.0269,0.4127,0.4127
pages-193-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3049,4070,0.1121,0.4527,0.1121,0.1121,0.4527,0.4527
pages-193-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,851,4202,0.0534,0.1163,0.0534,0.0534,0.1163,0.1163
pages-194-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,836,1584,0.1364,0.2286,0.1364,0.1364,0.2286,0.2286
pages-194-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1404,2369,0.2422,0.4083,0.2422,0.2422,0.4083,0.4083
pages-195-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1838,2844,0.3387,0.3973,0.3387,0.3387,0.3973,0.3973
pages-195-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1297,2463,0.1553,0.3984,0.1553,0.1553,0.3984,0.3984
pages-196-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2286,3057,0.1632,0.4959,0.1632,0.1632,0.4959,0.4959
pages-196-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1144,3020,0.0403,0.3395,0.0403,0.0403,0.3395,0.3395
pages-197-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2188,3301,0.0259,0.4041,0.0259,0.0259,0.4041,0.4041
pages-197-b,BLANK,,0,197,0.0,0.0,0.0,0.0,0.0,0.0
pages-198-a,MISSING,docling_easyocr_preprocessed,0,30,0.0,0.0,0.0,0.0,0.0,0.0
pages-198-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2523,3550,0.2381,0.4581,0.2381,0.2381,0.4581,0.4581
pages-199-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2583,3124,0.1339,0.5087,0.1339,0.1339,0.5087,0.5087
pages-199-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1563,3086,0.0125,0.358,0.0125,0.0125,0.358,0.358
pages-200-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2220,2671,0.0756,0.5921,0.0756,0.0756,0.5921,0.5921
pages-200-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2177,2464,0.0543,0.5016,0.0543,0.0543,0.5016,0.5016
pages-201-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2311,3041,0.0325,0.4595,0.0325,0.0325,0.4595,0.4595
pages-201-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2151,2973,0.4239,0.487,0.4239,0.4239,0.487,0.487
pages-202-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2406,2794,0.3292,0.4809,0.3292,0.3292,0.4809,0.4809
pages-202-b,MISSING,docling_easyocr_preprocessed,0,38,0.0,0.0,0.0,0.0,0.0,0.0
pages-203-a,MISSING,docling_easyocr_preprocessed,0,28696,0.0,0.0,0.0,0.0,0.0,0.0
pages-203-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1959,2848,0.1935,0.3971,0.1935,0.1935,0.3971,0.3971
pages-204-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2586,3139,0.4059,0.5228,0.4059,0.4059,0.5228,0.5228
pages-204-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2062,3120,0.1976,0.366,0.1976,0.1976,0.366,0.366
pages-205-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2390,3333,0.5053,0.4794,0.5053,0.5053,0.4794,0.4794
pages-205-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1667,2688,0.0546,0.4172,0.0546,0.0546,0.4172,0.4172
pages-206-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2653,3342,0.2262,0.5196,0.2262,0.2262,0.5196,0.5196
pages-206-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,40,37266,0.0014,0.1053,0.0014,0.0014,0.1053,0.1053
pages-207-a,BLANK,,0,134,0.0,0.0,0.0,0.0,0.0,0.0
pages-207-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1286,1500,0.051,0.5,0.051,0.051,0.5,0.5
pages-208-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2299,3328,0.0981,0.3746,0.0981,0.0981,0.3746,0.3746
pages-208-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1254,3394,0.0671,0.2749,0.0671,0.0671,0.2749,0.2749
pages-209-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2753,3345,0.3257,0.586,0.3257,0.3257,0.586,0.586
pages-209-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2135,3353,0.074,0.3696,0.074,0.074,0.3696,0.3696
pages-210-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2778,3195,0.0402,0.6056,0.0402,0.0402,0.6056,0.6056
pages-210-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1782,2940,0.0885,0.4071,0.0885,0.0885,0.4071,0.4071
pages-211-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2626,3563,0.2566,0.4585,0.2566,0.2566,0.4585,0.4585
pages-211-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1523,3138,0.018,0.2616,0.018,0.018,0.2616,0.2616
pages-212-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1886,1617,0.1279,0.4148,0.1279,0.1279,0.4148,0.4148
pages-212-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1382,31,0.0127,0.0055,0.0127,0.0127,0.0055,0.0055
pages-213-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2825,6,0.0042,0.0031,0.0042,0.0042,0.0031,0.0031
pages-213-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1436,34,0.0408,0.026,0.0408,0.0408,0.026,0.026
pages-214-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1469,17,0.0229,0.0,0.0229,0.0229,0.0,0.0
pages-214-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,562,34,0.0973,0.0,0.0973,0.0973,0.0,0.0
pages-215-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,945,7,0.0105,0.0,0.0105,0.0105,0.0,0.0
pages-215-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1672,2974,0.0129,0.2253,0.0129,0.0129,0.2253,0.2253
pages-216-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1254,3633,0.0372,0.2082,0.0372,0.0372,0.2082,0.2082
pages-216-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2040,3721,0.0139,0.3703,0.0139,0.0139,0.3703,0.3703
pages-217-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1305,32,0.0419,0.0159,0.0419,0.0419,0.0159,0.0159
pages-217-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,826,22,0.0519,0.0093,0.0519,0.0519,0.0093,0.0093
pages-218-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1798,31,0.0273,0.0243,0.0273,0.0273,0.0243,0.0243
pages-218-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3850,32,0.0046,0.0132,0.0046,0.0046,0.0132,0.0132
pages-219-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,510,13,0.0497,0.0345,0.0497,0.0497,0.0345,0.0345
pages-219-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1881,2983,0.104,0.3206,0.104,0.104,0.3206,0.3206
pages-220-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,5597,28,0.0064,0.0088,0.0064,0.0064,0.0088,0.0088
pages-220-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1567,40,0.0348,0.0059,0.0348,0.0348,0.0059,0.0059
pages-221-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1868,12,0.0096,0.0087,0.0096,0.0096,0.0087,0.0087
pages-221-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1651,3213,0.0378,0.3176,0.0378,0.0378,0.3176,0.3176
pages-222-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,920,59,0.0858,0.0096,0.0858,0.0858,0.0096,0.0096
pages-222-b,BLANK,,0,281,0.0,0.0,0.0,0.0,0.0,0.0
pages-223-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,14,82,0.2708,0.1818,0.2708,0.2708,0.1818,0.1818
pages-223-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,4,28712,0.0001,0.0,0.0001,0.0001,0.0,0.0
pages-224-a,BLANK,,0,5,0.0,0.0,0.0,0.0,0.0,0.0
pages-224-b,BLANK,,0,381,0.0,0.0,0.0,0.0,0.0,0.0
